doa,lag_seconds,GoogleLat,GoogleLng,
7,11,33.21921,-111.77269,
7,22,33.66997,-112.09982,
7,12,34.49207,-112.4372,
7,15,33.25001,-111.97745,
0,80,33.64444,-112.23051,
0,730,33.4519,-111.70161,
7,7,33.39055,-112.06463,
0,315,33.55321,-112.11233,
0,64,33.37915,-111.63619,
7,0,32.85379,-109.53184,
7,0,33.42981,-112.15185,
0,18853,33.37756,-112.77272,
0,87,33.50946,-112.11696,
7,4,32.94168,-111.70392,
0,8563,33.46809,-111.90881,
0,1149,33.63304,-112.08282,
0,31,33.56749,-112.11734,
0,189,33.32084,-111.80692,
0,55,33.62372,-112.33061,
8,26,32.18675,-110.84085,
0,95,36.46129,-109.88476,
7,10,32.27267,-111.21831,
0,48,33.44214,-112.13456,
7,27,33.44214,-112.13456,
7,23,33.59549,-112.23778,
0,19627,33.59549,-112.23778,
7,19,35.14591,-114.11055,
0,137,35.14591,-114.11055,
7,17,33.62768,-111.55882,
7,17,33.62768,-111.55882,
0,841,33.40676,-112.04708,
7,6,33.40676,-112.04708,
0,112,34.61176,-112.34559,
7,0,34.61176,-112.34559,
7,14,33.45011,-112.40951,
7,14,33.45011,-112.40951,
7,25,33.37736,-112.19883,
7,38,34.86388,-111.79539,
7,75,31.38596,-110.74696,
0,95,33.40267,-111.97833,
0,33,33.49503,-112.18644,
0,69,33.29159,-111.84086,
0,5629,32.29482,-110.8756,
0,1682,33.34973,-111.82947,
7,0,33.48047,-112.13432,
7,7,32.20843,-111.60919,
0,40,33.39325,-111.93958,
7,18,35.25803,-113.97164,
7,0,33.43719,-112.20325,
7,5,31.56384,-110.29968,
7,20,31.96366,-111.10656,
0,8640,33.48039,-111.90899,
0,27,33.55277,-112.06004,
8,36,32.16319,-110.93574,
0,196,33.46586,-112.20338,
7,14,33.19351,-111.97813,
0,2321,33.39053,-112.04731,
0,90,33.50936,-112.20312,
0,261,32.13526,-110.96152,
0,33,34.55322,-112.48094,
0,37553,33.46579,-112.03023,
0,1422,33.3361,-112.01385,
0,6106,33.46989,-112.15175,
0,29,33.50938,-112.08414,
7,11,33.58215,-112.10156,
7,2,33.55318,-111.55277,
0,25,33.52311,-112.04748,
0,67,33.37222,-111.91126,
7,4,33.46598,-112.18624,
7,9,33.57673,-112.05401,
0,30,33.53854,-112.1256,
8,41,33.50932,-112.07708,
0,74,32.69233,-114.61706,
7,0,33.46432,-112.3374,
0,881,33.72493,-111.92532,
0,11395,33.60961,-112.25759,
0,167,33.47921,-112.27621,
0,4632,33.53861,-112.14468,
0,1546,31.34168,-110.93457,
0,22287,35.19376,-111.63422,
0,547,35.21108,-111.61358,
7,0,35.13453,-111.62456,
7,0,35.13453,-111.62456,
0,4840,32.54408,-114.64909,
0,43,32.54408,-114.64909,
7,10,33.61082,-112.12568,
0,40,33.5203,-112.1515,
7,3,33.53872,-111.92566,
8,22,32.21007,-110.99854,
7,2,35.19154,-114.02018,
0,987,33.48051,-112.15426,
7,9,33.49473,-112.05436,
0,153,32.61708,-111.50005,
7,47,32.91743,-111.82185,
7,31,33.71501,-112.11542,
0,75,33.20397,-111.84102,
0,27,33.45906,-112.06517,
7,5,33.46583,-112.09194,
7,6,33.59841,-112.13644,
0,53,33.74811,-112.16691,
0,169,33.50874,-112.24192,
7,16,33.40676,-112.04708,
7,8,33.5188,-112.2031,
0,37,31.88996,-110.9811,
0,1685,32.25062,-110.90888,
7,20,32.97363,-111.50084,
0,134,32.26474,-110.96987,
0,145,33.43677,-112.06794,
0,667,33.4947,-112.06094,
7,0,33.4148,-111.93091,
0,114,33.26347,-111.71274,
7,11,33.52512,-112.1863,
0,67,33.63535,-112.04558,
0,40,33.41127,-111.80532,
0,15472,32.20158,-110.95608,
7,10,33.44378,-112.12602,
0,37,33.63926,-112.15135,
7,0,32.20673,-110.96804,
7,26,32.13321,-111.17332,
0,61,33.75954,-112.25185,
0,7339,32.15653,-110.9654,
0,23,32.20641,-110.85476,
0,20156,33.66784,-112.16937,
0,14011,33.57854,-111.9304,
7,0,33.4465,-112.28977,
7,0,33.4465,-112.28977,
7,0,33.45151,-111.87201,
7,0,33.45151,-111.87201,
7,0,33.45151,-111.87201,
7,0,33.45151,-111.87201,
7,11,33.21949,-111.65217,
7,11,33.21949,-111.65217,
0,29549,33.45865,-112.09124,
0,53,32.28153,-110.96111,
0,438,32.22945,-110.98382,
0,140,32.09451,-110.90949,
0,776,33.6678,-111.89072,
0,33,33.6407,-112.01644,
0,2801,33.46204,-112.06935,
7,20,31.55167,-110.18968,
7,0,33.37416,-111.75581,
0,36223,33.50959,-112.10416,
0,26188,33.43262,-111.70943,
0,28,32.28062,-110.97169,
7,4,33.86704,-112.13874,
0,126,33.66268,-112.11729,
7,7,33.40673,-112.07783,
0,32,35.1941,-111.6281,
0,50,32.40262,-111.19639,
0,43,33.43194,-112.13457,
0,36282,33.37556,-112.07326,
0,1821,33.42368,-112.04778,
7,5,34.51547,-114.36638,
0,86,32.12867,-111.02926,
0,393,33.42235,-111.83996,
0,55,33.64741,-112.22988,
0,17272,33.57244,-112.11691,
0,69,33.43209,-112.11948,
7,27,32.26121,-110.97199,
0,80,33.43929,-111.89158,
0,31454,33.64062,-112.03084,
7,6,33.50921,-112.04588,
0,54,33.36422,-111.86592,
7,10,33.49503,-112.11047,
7,60,34.47169,-111.17447,
7,22,32.25062,-110.90972,
7,27,32.65138,-111.40062,
7,0,33.44811,-111.68817,
0,68,33.42064,-112.33213,
8,255,36.16384,-109.53074,
7,16,33.45135,-112.15176,
7,16,33.45135,-112.15176,
7,16,33.45135,-112.15176,
7,15,33.41616,-112.16934,
7,15,33.41616,-112.16934,
